"fun","pkgs"
"==","""base"""
"/","""base"""
"$","""base"""
"mean","""base"""
"n","c(""dplyr"",""duckplyr"")"
">","""base"""
"%in%","""base"""
"sum","""base"""
"!","""base"""
"&","""base"""
"-","""base"""
"(","""base"""
"is.na","""base"""
"!=","""base"""
"*","""base"""
"+","""base"""
"<","""base"""
">=","""base"""
"n_distinct","c(""dplyr"",""duckplyr"")"
"max","""base"""
"<=","""base"""
"|","""base"""
"min","""base"""
"grepl","""base"""
"sd","""stats"""
"median","""stats"""
"as.integer","""base"""
"row_number","c(""dplyr"",""duckplyr"")"
"if_else","c(""dplyr"",""duckplyr"")"
"any","""base"""
"suppressWarnings","""base"""
"lag","c(""dplyr"",""duckplyr"")"
"lead","c(""dplyr"",""duckplyr"")"
"first","c(""dplyr"",""duckplyr"")"
"last","c(""dplyr"",""duckplyr"")"
"nth","c(""dplyr"",""duckplyr"")"
"log10","""base"""
"log","""base"""
"rank","""base"""
"min_rank","c(""dplyr"",""duckplyr"")"
"dense_rank","c(""dplyr"",""duckplyr"")"
"percent_rank","c(""dplyr"",""duckplyr"")"
"cume_dist","c(""dplyr"",""duckplyr"")"
"ntile","c(""dplyr"",""duckplyr"")"
"hour","""lubridate"""
"minute","""lubridate"""
"second","""lubridate"""
"wday","""lubridate"""
"strftime","""base"""
"abs","""base"""
"substr","""base"""
