"","pkg","q","time"
"tpch_01","dplyr","tpch_01",0.548
"tpch_02","dplyr","tpch_02",0.0709999999999997
"tpch_03","dplyr","tpch_03",0.166
"tpch_04","dplyr","tpch_04",0.130000000000003
"tpch_05","dplyr","tpch_05",0.226000000000003
"tpch_06","dplyr","tpch_06",0.0760000000000005
"tpch_07","dplyr","tpch_07",0.170000000000002
"tpch_08","dplyr","tpch_08",0.181999999999999
"tpch_09","dplyr","tpch_09",0.561999999999998
"tpch_10","dplyr","tpch_10",0.170000000000002
"tpch_11","dplyr","tpch_11",0.100999999999999
"tpch_12","dplyr","tpch_12",0.177
"tpch_13","dplyr","tpch_13",1.678
"tpch_14","dplyr","tpch_14",0.0820000000000007
"tpch_15","dplyr","tpch_15",0.0919999999999987
"tpch_16","dplyr","tpch_16",0.212000000000003
"tpch_17","dplyr","tpch_17",0.161999999999999
"tpch_18","dplyr","tpch_18",2.879
"tpch_19","dplyr","tpch_19",2.095
"tpch_20","dplyr","tpch_20",0.176000000000002
"tpch_21","dplyr","tpch_21",60.316
"tpch_22","dplyr","tpch_22",0.0730000000000075
