"","pkg","q","time"
"1","duckdb",1,3.089
"2","duckdb",2,0.369
"3","duckdb",3,0.245
"4","duckdb",4,0.217
"5","duckdb",5,0.382
"6","duckdb",6,0.0590000000000002
"7","duckdb",7,0.475000000000001
"8","duckdb",8,0.549
"9","duckdb",9,0.518000000000001
"10","duckdb",10,0.383999999999999
"11","duckdb",11,0.220000000000001
"12","duckdb",12,0.225
"13","duckdb",13,0.263999999999999
"14","duckdb",14,0.0969999999999995
"15","duckdb",15,0.15
"16","duckdb",16,0.174
"17","duckdb",17,0.206999999999999
"18","duckdb",18,0.554
"19","duckdb",19,0.504999999999999
"20","duckdb",20,0.300000000000001
"21","duckdb",21,3.563
"22","duckdb",22,0.224999999999998
