"","pkg","q","time"
"tpch_01","duckplyr-raw","tpch_01",0.103000000000065
"tpch_02","duckplyr-raw","tpch_02",0.0309999999999491
"tpch_03","duckplyr-raw","tpch_03",0.0839999999998327
"tpch_04","duckplyr-raw","tpch_04",0.0599999999999454
"tpch_05","duckplyr-raw","tpch_05",0.0739999999996144
"tpch_06","duckplyr-raw","tpch_06",0.0299999999997453
"tpch_07","duckplyr-raw","tpch_07",0.0640000000003056
"tpch_08","duckplyr-raw","tpch_08",0.0709999999999127
"tpch_09","duckplyr-raw","tpch_09",0.0909999999998945
"tpch_10","duckplyr-raw","tpch_10",0.056999999999789
"tpch_11","duckplyr-raw","tpch_11",0.0309999999999491
"tpch_12","duckplyr-raw","tpch_12",0.101999999999862
"tpch_13","duckplyr-raw","tpch_13",0.18100000000004
"tpch_14","duckplyr-raw","tpch_14",0.0349999999998545
"tpch_15","duckplyr-raw","tpch_15",0.0450000000000728
"tpch_16","duckplyr-raw","tpch_16",0.0789999999997235
"tpch_17","duckplyr-raw","tpch_17",0.0480000000002292
"tpch_18","duckplyr-raw","tpch_18",0.0910000000003492
"tpch_19","duckplyr-raw","tpch_19",0.0839999999998327
"tpch_20","duckplyr-raw","tpch_20",0.0530000000003383
"tpch_21","duckplyr-raw","tpch_21",0.538000000000011
"tpch_22","duckplyr-raw","tpch_22",0.0289999999999964
