"","pkg","q","time"
"tpch_01","duckplyr","tpch_01",6.96199999999999
"tpch_02","duckplyr","tpch_02",0.371000000000095
"tpch_03","duckplyr","tpch_03",0.612999999999829
"tpch_04","duckplyr","tpch_04",0.556999999999789
"tpch_05","duckplyr","tpch_05",0.777000000000044
"tpch_06","duckplyr","tpch_06",0.139000000000124
"tpch_07","duckplyr","tpch_07",0.715999999999894
"tpch_08","duckplyr","tpch_08",0.673999999999978
"tpch_09","duckplyr","tpch_09",1.13999999999987
"tpch_10","duckplyr","tpch_10",0.809999999999945
"tpch_11","duckplyr","tpch_11",0.652000000000044
"tpch_12","duckplyr","tpch_12",0.644999999999982
"tpch_13","duckplyr","tpch_13",3.69799999999987
"tpch_14","duckplyr","tpch_14",0.179000000000087
"tpch_15","duckplyr","tpch_15",0.478000000000065
"tpch_16","duckplyr","tpch_16",1.8090000000002
"tpch_17","duckplyr","tpch_17",0.289999999999964
"tpch_18","duckplyr","tpch_18",3.6899999999996
"tpch_19","duckplyr","tpch_19",0.93100000000004
"tpch_20","duckplyr","tpch_20",0.488999999999578
"tpch_21","duckplyr","tpch_21",35.3240000000001
"tpch_22","duckplyr","tpch_22",0.779999999999745
