"","pkg","q","time"
"tpch_01","relational-duckdb","q01",0.0190000000000001
"tpch_02","relational-duckdb","q02",0.0730000000000004
"tpch_03","relational-duckdb","q03",0.0329999999999995
"tpch_04","relational-duckdb","q04",0.0139999999999993
"tpch_05","relational-duckdb","q05",0.0489999999999995
"tpch_06","relational-duckdb","q06",0.0109999999999992
"tpch_07","relational-duckdb","q07",0.0739999999999981
"tpch_08","relational-duckdb","q08",0.0760000000000005
"tpch_09","relational-duckdb","q09",0.059000000000001
"tpch_10","relational-duckdb","q10",0.0399999999999991
"tpch_11","relational-duckdb","q11",0.0360000000000014
"tpch_12","relational-duckdb","q12",0.0279999999999987
"tpch_13","relational-duckdb","q13",0.0169999999999995
"tpch_14","relational-duckdb","q14",0.0239999999999974
"tpch_15","relational-duckdb","q15",0.0310000000000024
"tpch_16","relational-duckdb","q16",0.0339999999999989
"tpch_17","relational-duckdb","q17",0.0470000000000006
"tpch_18","relational-duckdb","q18",0.0210000000000008
"tpch_19","relational-duckdb","q19",0.0650000000000013
"tpch_20","relational-duckdb","q20",0.0329999999999977
"tpch_21","relational-duckdb","q21",0.0650000000000013
"tpch_22","relational-duckdb","q22",0.0609999999999999
